deal_qualilty,hyperlink,mile,name,object,other_attributes,price,self.year
FAIR PRICE,https://www.cars.com/vehicledetail/detail/695708548/overview/,"126,975 mi.",2014 Ford Explorer XLT,,"Exterior Color: Gray,Interior Color: Gray,Transmission: 6-SPEED A/T,Drivetrain: Four Wheel Drive","$16,988",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/724182281/overview/,"92,748 mi.",2014 Nissan Rogue SL,,"Exterior Color: White,Interior Color: Black,Transmission: Automatic,Drivetrain: All Wheel Drive","$12,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/718368692/overview/,"35,364 mi.",2014 Volkswagen Tiguan 4MOTION Auto SEL,,"Exterior Color: Black,Interior Color: Black,Transmission: 6-Speed Automatic,Drivetrain: AWD","$15,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/722081704/overview/,"47,846 mi.",2014 Mazda CX-9 Touring,,"Exterior Color: Jet Black Mica,Interior Color: Sand,Transmission: 6-Speed Automatic,Drivetrain: AWD","$15,950",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/729308546/overview/,"45,371 mi.",2014 Ford Escape Titanium,,"Exterior Color: Ingot Silver Metallic,Interior Color: Black,Transmission: 6-Speed Automatic w/OD,Drivetrain: 4WD","$19,900",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/710311546/overview/,"32,716 mi.",2014 Nissan Pathfinder SV,,"Exterior Color: Dark Slate,Transmission: xtronic cvt (continuously variable),Drivetrain: Four Wheel Drive","$18,599",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/714902923/overview/,"31,388 mi.",2014 Nissan Pathfinder S,,"Exterior Color: Super Black,Interior Color: Charcoal,Transmission: xtronic cvt (continuously variable),Drivetrain: Four Wheel Drive","$19,995",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/723362105/overview/,"35,833 mi.",2014 Honda CR-V EX,,"Exterior Color: White Diamond Pearl,Interior Color: Beige,Transmission: 5-Speed Automatic,Drivetrain: AWD","$18,200",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/723140991/overview/,"35,818 mi.",2014 Honda CR-V EX-L,,"Exterior Color: White Diamond Pearl,Interior Color: Black,Transmission: 5-Speed Automatic,Drivetrain: AWD","$19,900",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/724178612/overview/,"40,087 mi.",2014 Honda CR-V EX,,"Exterior Color: Alabaster Silver Metallic,Interior Color: Black,Transmission: 5-Speed Automatic,Drivetrain: AWD","$17,900",2014
NOT A GOOD DEAL,https://www.cars.com/vehicledetail/detail/725172507/overview/,"45,245 mi.",2014 Chevrolet Traverse 1LT,,"Exterior Color: Tungsten Metallic,Interior Color: Ebony,Transmission: 6-Speed Automatic,Drivetrain: AWD","$19,977",2014
GREAT DEAL,https://www.cars.com/vehicledetail/detail/727003614/overview/,"44,053 mi.",2014 Ford Escape Titanium,,"Exterior Color: Tuxedo Black,Interior Color: Charcoal Black,Transmission: 6-Speed Automatic,Drivetrain: 4WD","$16,912",2014
GOOD DEAL,https://www.cars.com/vehicledetail/detail/728906103/overview/,"29,263 mi.",2014 GMC Terrain SLE-1,,"Exterior Color: Gray,Interior Color: Jet Black,Transmission: 6-Speed Automatic,Drivetrain: FWD","$15,991",2014
